a|/ə/
aa|/ˌeɪ ˈeɪ/
aaa|/ˌtrɪpl ˈeɪ/
aardvark|/ˈɑːdvɑːk/
aargh|/ɑː(r)/
aaron|/ˈeərən/
aba|/ˌeɪ biː ˈeɪ/
aback|/əˈbæk/
abacus|/ˈæbəkəs/
abaft|/əˈbɑːft/
abalone|/ˌæbəˈləʊni/
abandon|/əˈbændən/
abandoned|/əˈbændənd/
abandonment|/əˈbændənmənt/
abase|/əˈbeɪs/
abasement|/əˈbeɪsmənt/
abashed|/əˈbæʃt/
abate|/əˈbeɪt/
abatement|/əˈbeɪtmənt/
abattoir|/ˈæbətwɑː(r)/
abba|/əˈbɑː/
abbey|/ˈæbi/
abbess|/ˈæbes/
abbie|/ˈæbi/
abbot|/ˈæbət/
abbreviate|/əˈbriːvieɪt/
abbreviated|/əˈbriːvieɪtɪd/
abbreviation|/əˌbriːviˈeɪʃn/
abc|/ˌeɪ biː ˈsiː/
abd|/ˌeɪ biː ˈdiː/
abdicate|/ˈæbdɪkeɪt/
abdication|/ˌæbdɪˈkeɪʃn/
abdomen|/ˈæbdəmən/
abdominal|/æbˈdɒmɪnl/
abduct|/æbˈdʌkt/
abduction|/æbˈdʌkʃn/
abductor|/æbˈdʌktə(r)/
abe|/eɪb/
abed|/əˈbed/
abeyance|/əˈbeɪəns/
aberdeen|/ˌæbəˈdiːn/
aberdonian|/ˌæbəˈdəʊniən/
aberrant|/əˈberənt/
aberration|/ˌæbəˈreɪʃn/
abet|/əˈbet/
abhor|/əbˈhɔː(r)/
abhorrence|/əbˈhɒrəns/
abhorrent|/əbˈhɒrənt/
abide|/əˈbaɪd/
abiding|/əˈbaɪdɪŋ/
abigail|/ˈæbɪɡeɪl/
ability|/əˈbɪləti/
abiotic|/ˌeɪbaɪˈɒtɪk/
abysmal|/əˈbɪzməl/
abysmally|/əˈbɪzməli/
abyss|/əˈbɪs/
abyssal|/əˈbɪsl/
abject|/ˈæbdʒekt/
abjectly|/ˈæbdʒektli/
abjure|/əbˈdʒʊə(r)/
ablation|/əˈbleɪʃn/
